Date,Open,High,Low,Close,Adj Close,Volume
2024-04-05,2985.0,2988.5,2900.5,2919.95,1449.2483,2021782.0
2024-04-12,2923.4,2980.5,2923.4,2935.1,1456.7676,2101156.0
2024-04-19,2908.65,2971.5,2886.75,2941.6,1459.9938,2391462.0
2024-04-26,2950.0,2986.05,2885.2,2903.0,1440.8356,2342712.0
2024-05-03,2902.95,2965.0,2832.7,2868.5,1423.7123,1800162.0
2024-05-10,2875.0,2881.45,2775.2,2815.15,1397.2333,2161956.0
2024-05-17,2798.05,2874.85,2768.05,2870.7,1424.8042,1614968.0
2024-05-24,2859.0,2983.55,2852.9,2959.8,1469.0269,1790804.0
2024-05-31,2960.8,2967.45,2841.5,2859.6,1419.295,2334780.0
2024-06-07,2974.9,3029.9,2719.15,2939.45,1458.9267,5476656.0
2024-06-14,2943.75,2986.55,2910.0,2954.55,1466.4212,1259032.0
2024-06-21,2970.2,2975.2,2880.5,2906.8,1442.7216,2404244.0
2024-06-28,2892.0,3161.45,2874.4,3131.85,1554.4199,4718232.0
2024-07-05,3129.95,3197.65,3085.2,3180.05,1578.3428,2815712.0
2024-07-12,3179.9,3217.9,3126.75,3193.45,1584.9936,2511606.0
2024-07-19,3200.15,3211.45,3104.15,3109.5,1543.327,1897014.0
2024-07-26,3070.15,3073.35,2927.1,3017.85,1497.8386,2953424.0
2024-08-02,3039.95,3054.0,2985.8,2998.45,1488.2099,1900522.0
2024-08-09,2950.05,2960.1,2865.8,2948.3,1463.3191,2244080.0
2024-08-16,2932.4,2961.0,2908.0,2956.15,1467.2153,4625648.0
2024-08-23,2967.45,3022.65,2963.0,2999.95,1494.0083,2426918.0
2024-08-30,3015.0,3083.95,2985.35,3019.75,1503.8689,3120914.0
2024-09-06,3031.65,3053.35,2922.75,2929.85,1459.0977,4081122.0
2024-09-13,2932.1,2971.0,2892.3,2944.45,1466.3687,2543366.0
2024-09-20,2957.5,2991.15,2911.2,2973.1,1480.6367,4365852.0
2024-09-27,2980.1,3066.9,2960.5,3052.4,1520.129,2560768.0
2024-10-04,3036.0,3044.3,2766.0,2773.8,1381.3831,11649162.0
2024-10-11,2799.95,2802.75,2722.9,2742.2,1365.6459,3695452.0
2024-10-18,2761.7,2761.7,2676.0,2717.55,1353.37,5509102.0
2024-10-25,2739.65,2751.9,2645.0,2655.45,1322.4435,3959796.0
2024-10-31,1338.0,1353.15,1320.5,1332.6,1327.2991,1729785.0
2024-11-08,1337.0,1338.6,1278.0,1284.0,1278.8924,4092778.0
2024-11-14,1282.6,1289.4,1249.7,1267.7,1262.6573,2613114.0
2024-11-22,1266.55,1281.0,1217.7,1265.95,1260.9142,2554111.0
2024-11-29,1294.8,1304.35,1269.25,1292.45,1287.3088,2943840.0
2024-12-06,1291.65,1329.5,1277.0,1311.8,1306.5818,2504097.0
2024-12-13,1303.0,1315.45,1240.0,1273.35,1268.2848,3377915.0
2024-12-20,1275.0,1281.6,1202.1,1206.0,1201.2027,2955813.0
2024-12-27,1217.25,1233.45,1213.15,1220.95,1216.0932,4810858.0
2025-01-03,1219.65,1262.3,1206.4,1251.35,1246.3723,2170952.0
2025-01-10,1251.55,1270.7,1215.3,1242.35,1237.4081,2938301.0
2025-01-17,1230.0,1325.1,1225.6,1301.3,1296.1236,3841210.0
2025-01-24,1319.35,1319.35,1244.0,1245.9,1240.944,4320312.0
2025-01-31,1239.9,1266.0,1218.9,1264.9,1259.8684,2009105.0
2025-02-07,1250.0,1290.0,1238.0,1266.85,1261.8106,1685014.0
2025-02-14,1263.8,1266.0,1193.65,1216.95,1212.1091,2409879.0
2025-02-21,1215.75,1239.95,1205.15,1227.7,1222.8164,1638584.0
2025-02-28,1219.4,1223.0,1193.3,1199.6,1194.8281,1989760.0
2025-03-07,1209.8,1254.5,1156.0,1249.1,1244.1312,2624990.0
2025-03-13,1249.1,1264.0,1230.0,1247.4,1242.438,1280244.0
